epoch loss mse_score_complex ssim_score_complex val_loss val_mse_score_complex val_ssim_score_complex
0 0.2848033308982849 0.006351071409881115 0.7151820659637451 0.31558048725128174 0.00497045973315835 0.6844699382781982
1 0.23882761597633362 0.0037566162645816803 0.7611912488937378 0.34023961424827576 0.004879220854490995 0.6597405076026917
2 0.2300545871257782 0.0034972582943737507 0.7699464559555054 0.2949278652667999 0.004328602459281683 0.7050724029541016
3 0.21947266161441803 0.0032017924822866917 0.7805194854736328 0.3183099627494812 0.004868762567639351 0.6816948652267456
4 0.2134527862071991 0.0030092461965978146 0.7865558862686157 0.3008905351161957 0.004480072762817144 0.6991041898727417
5 0.2130063772201538 0.002985849278047681 0.7869875431060791 0.3242987394332886 0.004938398487865925 0.6756807565689087
6 0.20640327036380768 0.0027893490623682737 0.7936031222343445 0.3179405629634857 0.004833412356674671 0.6820561289787292
7 0.21035540103912354 0.0029104806017130613 0.7896340489387512 0.32227659225463867 0.004674361553043127 0.677767276763916
8 0.20295408368110657 0.0026915629860013723 0.7970394492149353 0.3291660249233246 0.005019983276724815 0.6708381772041321
9 0.1975443959236145 0.002544503193348646 0.8024402856826782 0.3423638343811035 0.004991388414055109 0.6576421856880188
10 0.20080183446407318 0.0026490536984056234 0.7992237210273743 0.32470062375068665 0.004713375121355057 0.6753068566322327
11 0.1946745067834854 0.002448266139253974 0.8052912950515747 0.362750768661499 0.005289865657687187 0.6373597979545593
12 0.18797188997268677 0.002280095824971795 0.8119925856590271 0.347872257232666 0.004934481345117092 0.6520899534225464
13 0.18531671166419983 0.0022067632526159286 0.8146582245826721 0.27149173617362976 0.0036934087984263897 0.72853022813797
14 0.1817336529493332 0.0021142761688679457 0.81827312707901 0.2627348303794861 0.0034659660886973143 0.7372854351997375
15 0.17982560396194458 0.0020735107827931643 0.8201616406440735 0.3194766640663147 0.004740320146083832 0.680588960647583
16 0.17723947763442993 0.002006725175306201 0.8227475881576538 0.22101396322250366 0.002726313890889287 0.7790089249610901
17 0.17549891769886017 0.0019689470063894987 0.8244795203208923 0.3267943859100342 0.004871685989201069 0.6731660962104797
