epoch loss mse ssim_score val_loss val_mse val_ssim_score
0 0.330282986164093 0.00562461419031024 0.6697438359260559 0.3651949167251587 0.004945425316691399 0.6348863244056702
1 0.2720235288143158 0.004009266849607229 0.727972686290741 0.3602290749549866 0.004980043973773718 0.6398242712020874
2 0.2582969069480896 0.0037086268421262503 0.7416637539863586 0.3566555678844452 0.004836366977542639 0.6433442831039429
3 0.24919702112674713 0.0034936226438730955 0.7507930397987366 0.3575414717197418 0.005106859374791384 0.6424924731254578
4 0.2427246868610382 0.0033295799512416124 0.7572537660598755 0.35252639651298523 0.0049249520525336266 0.6474176645278931
5 0.23729176819324493 0.0031945439986884594 0.7626956701278687 0.3519403040409088 0.004832737147808075 0.6480041146278381
6 0.23313400149345398 0.0030850174371153116 0.7668652534484863 0.35056808590888977 0.004726804792881012 0.6493919491767883
7 0.22950811684131622 0.0029815598390996456 0.7704961895942688 0.3553766906261444 0.0047347149811685085 0.6446163058280945
8 0.22644419968128204 0.0029005054384469986 0.7735565900802612 0.35360008478164673 0.004767986945807934 0.6464723348617554
9 0.2236342877149582 0.0028197751380503178 0.7763769030570984 0.3618851900100708 0.004737705923616886 0.6381464600563049
10 0.2209441214799881 0.002751098247244954 0.7790598273277283 0.3526580035686493 0.004713115748018026 0.6473608613014221
11 0.21740402281284332 0.002661593956872821 0.7826082110404968 0.35477760434150696 0.004816333297640085 0.6452438235282898
12 0.21416941285133362 0.0025887582451105118 0.7858251333236694 0.3521551191806793 0.004696015268564224 0.6478008031845093
13 0.21131311357021332 0.0025238622911274433 0.7886974811553955 0.35454291105270386 0.004688550252467394 0.6454965472221375
14 0.20895613729953766 0.0024704698007553816 0.7910239696502686 0.3561285734176636 0.004712204914540052 0.643934428691864
15 0.2067088484764099 0.0024166652001440525 0.7933093905448914 0.35636624693870544 0.004720747936517 0.6436329483985901
16 0.20476491749286652 0.002371713751927018 0.7952346205711365 0.35738855600357056 0.004730654880404472 0.642623245716095
