epoch loss mse ssim_score val_loss val_mse val_ssim_score
0 0.30786535143852234 0.007149253506213427 0.6921167373657227 0.3587833344936371 0.004992653615772724 0.6412050127983093
1 0.28070926666259766 0.004154181107878685 0.7192944884300232 0.3585346043109894 0.005098382476717234 0.6414540410041809
2 0.2663482427597046 0.0038065428379923105 0.7336596250534058 0.3418479561805725 0.00484479870647192 0.6581897735595703
3 0.2555658221244812 0.0035440241917967796 0.7443743944168091 0.3495953679084778 0.004625183064490557 0.6504072546958923
4 0.24953071773052216 0.003379867412149906 0.7504728436470032 0.3347930908203125 0.004870964214205742 0.6652025580406189
5 0.2419928014278412 0.003187814261764288 0.7580230236053467 0.34139546751976013 0.004789215046912432 0.6585671901702881
6 0.23564918339252472 0.0030251098796725273 0.7643349766731262 0.3539043962955475 0.004934312310069799 0.6461045742034912
7 0.23119477927684784 0.002909216098487377 0.7688047289848328 0.34594666957855225 0.004840867128223181 0.6541051864624023
8 0.2273963987827301 0.002809021854773164 0.7726123332977295 0.34357428550720215 0.0047486028634011745 0.6564441323280334
9 0.22307810187339783 0.0027065586764365435 0.7769187688827515 0.34706777334213257 0.004662392660975456 0.652930498123169
10 0.22067061066627502 0.0026398987974971533 0.7792943716049194 0.34198352694511414 0.004668503999710083 0.6580272912979126
11 0.2163110226392746 0.0025349382776767015 0.7836647033691406 0.34555694460868835 0.0046285297721624374 0.6544317603111267
12 0.21273772418498993 0.0024521981831640005 0.7872346043586731 0.3445509076118469 0.0047466326504945755 0.6553581953048706
13 0.20973531901836395 0.002378986217081547 0.7902430295944214 0.3494395911693573 0.004783020820468664 0.6505249738693237
14 0.20693162083625793 0.002311649499461055 0.7930817604064941 0.3516898453235626 0.004788120277225971 0.6482669115066528
15 0.20443101227283478 0.0022533421870321035 0.7955743074417114 0.3473140001296997 0.004775688052177429 0.6527538299560547
16 0.20222404599189758 0.002202095463871956 0.7977573275566101 0.341837614774704 0.004731259308755398 0.6582335233688354
17 0.20018146932125092 0.0021561612375080585 0.7998096346855164 0.3496699333190918 0.0047957212664186954 0.6503528952598572
18 0.19823861122131348 0.0021122486796230078 0.801762580871582 0.34671443700790405 0.0047800191678106785 0.6532735824584961
19 0.19659408926963806 0.0020758649334311485 0.8034024238586426 0.2443365454673767 0.0027323083486407995 0.7556226253509521
20 0.1949571669101715 0.0020434586331248283 0.8050284385681152 0.3533604145050049 0.004800124559551477 0.6466239094734192
21 0.19332270324230194 0.0020108178723603487 0.8066713213920593 0.22165152430534363 0.0024709501303732395 0.7783389687538147
22 0.19183900952339172 0.0019833596888929605 0.8081479072570801 0.34590426087379456 0.004799715243279934 0.6541115045547485
23 0.19056513905525208 0.001960611902177334 0.8094485998153687 0.34843650460243225 0.004744385834783316 0.6515703797340393
24 0.18941521644592285 0.0019377534044906497 0.8105976581573486 0.32165104150772095 0.004040214233100414 0.6783291101455688
25 0.18838511407375336 0.0019199470989406109 0.811600387096405 0.24234281480312347 0.0027414406649768353 0.7577058672904968
