epoch loss mse_score_complex ssim_score_complex val_loss val_mse_score_complex val_ssim_score_complex
0 0.1802443116903305 0.00812535360455513 0.819763720035553 0.16038697957992554 0.0016465282533317804 0.8396182060241699
1 0.14143767952919006 0.0014893973711878061 0.858551561832428 0.16557292640209198 0.0020350341219455004 0.8344245553016663
2 0.13104580342769623 0.001329227234236896 0.868945837020874 0.15554742515087128 0.0016363837057724595 0.844446063041687
3 0.12576255202293396 0.0012521060416474938 0.8742365837097168 0.1666882187128067 0.001847310340963304 0.8333013653755188
4 0.1214945837855339 0.0011813777964562178 0.8784870505332947 0.1383085995912552 0.001278364798054099 0.8616968393325806
5 0.11796274781227112 0.0011266121873632073 0.8820450901985168 0.1450897604227066 0.0015626281965523958 0.8548936247825623
6 0.1147720217704773 0.0010733925737440586 0.8852119445800781 0.16813777387142181 0.001551819033920765 0.8318610787391663
7 0.11185840517282486 0.0010273575317114592 0.8881497979164124 0.1529470831155777 0.0014484660932794213 0.8470473289489746
8 0.10864531248807907 0.0009769249008968472 0.8913547992706299 0.15174241364002228 0.0014458552468568087 0.8482642769813538
9 0.10554157197475433 0.000928821275010705 0.8944752812385559 0.14659743010997772 0.0013300069840624928 0.8533914089202881
10 0.10283618420362473 0.0008866200805641711 0.8971512317657471 0.15555360913276672 0.0015414078952744603 0.8444444537162781
11 0.10006333142518997 0.0008456001523882151 0.8999504446983337 0.14856955409049988 0.0013047654647380114 0.8514299392700195
12 0.097620889544487 0.0008080526604317129 0.9023855328559875 0.15043558180332184 0.0013260211562737823 0.8495756983757019
13 0.09607964009046555 0.0007862549391575158 0.9038792848587036 0.16953273117542267 0.001492143259383738 0.8304704427719116
14 0.09408999979496002 0.0007566047715954483 0.9058983325958252 0.10021898150444031 0.0008172625675797462 0.8997793793678284
15 0.09271303564310074 0.000738942006137222 0.9072829484939575 0.1546907126903534 0.001391238416545093 0.845298171043396
16 0.09150416404008865 0.0007217766251415014 0.9085123538970947 0.1529572755098343 0.001374295330606401 0.8470503091812134
17 0.09036105871200562 0.0007057922193780541 0.9096471667289734 0.1444934904575348 0.0012997039593756199 0.8555071949958801
18 0.08938003331422806 0.0006939837476238608 0.9106051921844482 0.11495161056518555 0.000979407923296094 0.8850463032722473
19 0.08847726881504059 0.0006816562963649631 0.9115297794342041 0.08843424916267395 0.0006609541014768183 0.9115670919418335
20 0.08769365400075912 0.0006708377622999251 0.9123181104660034 0.12328276038169861 0.0010527431732043624 0.8767215013504028
21 0.08699978142976761 0.0006625490495935082 0.9130053520202637 0.11029452085494995 0.0009373628417961299 0.88969486951828
22 0.0863952562212944 0.0006550062680616975 0.9136133790016174 0.08664902299642563 0.0006505727069452405 0.9133605360984802
23 0.08586777746677399 0.000647353008389473 0.914126455783844 0.11451994627714157 0.000968999695032835 0.8854763507843018
24 0.08531256765127182 0.0006409421912394464 0.9146780967712402 0.08597567677497864 0.0006347752059809864 0.9140186905860901
25 0.08490969240665436 0.0006354632205329835 0.9150974750518799 0.08501528203487396 0.0006346841109916568 0.9149850606918335
26 0.08451849967241287 0.0006308280280791223 0.915472686290741 0.08517666906118393 0.0006334569770842791 0.9148232936859131
27 0.08415252715349197 0.0006253211759030819 0.9158641695976257 0.09279945492744446 0.0007272521615959704 0.9071889519691467
28 0.08383888006210327 0.0006222977535799146 0.9161503314971924 0.08422516286373138 0.0006196157773956656 0.9157754182815552
29 0.083558589220047 0.000618465302977711 0.9164267182350159 0.0860481783747673 0.0006419006385840476 0.9139353036880493
30 0.08330260217189789 0.0006151798297651112 0.9167075157165527 0.08462602645158768 0.0006252846214920282 0.915381133556366
31 0.08306532353162766 0.000612338597420603 0.9169192314147949 0.09227203577756882 0.0007186935399658978 0.9077364206314087
32 0.082872174680233 0.0006099065067246556 0.9171367287635803 0.08360633999109268 0.000610358314588666 0.9163994789123535
33 0.08266013115644455 0.000607331923674792 0.9173521399497986 0.08323691785335541 0.0006057042628526688 0.9167622923851013
34 0.08249235898256302 0.0006048919749446213 0.9175165891647339 0.08296523988246918 0.0006036995910108089 0.9170457720756531
35 0.08234542608261108 0.0006033428362570703 0.9176463484764099 0.08252330869436264 0.0006005495088174939 0.9174793362617493
36 0.08220743387937546 0.0006017919513396919 0.9177595973014832 0.08242052048444748 0.0005975820240564644 0.9175796508789062
37 0.08209039270877838 0.0006000410648994148 0.9179093241691589 0.0825670138001442 0.0006012977100908756 0.9174317121505737
38 0.0819830447435379 0.0005985871539451182 0.9180186986923218 0.08276087045669556 0.0006026107002981007 0.9172424674034119
39 0.08187207579612732 0.0005970565252937376 0.9181190729141235 0.08257822692394257 0.0005986477481201291 0.9174287915229797
40 0.08179253339767456 0.0005959623376838863 0.9182069301605225 0.0821257159113884 0.0005967814940959215 0.917884111404419
41 0.08169087767601013 0.0005947595927864313 0.9183053970336914 0.08242419362068176 0.0005984712042845786 0.9175679087638855
42 0.08161591738462448 0.0005938211106695235 0.9183856844902039 0.08185690641403198 0.0005922808777540922 0.9181270599365234
43 0.08155711740255356 0.0005929084145464003 0.9184532165527344 0.08221212774515152 0.0005940193659625947 0.9177877902984619
44 0.08148457854986191 0.0005921893753111362 0.918504536151886 0.08166899532079697 0.0005875343340449035 0.918330729007721
