epoch loss mse_score ssim_score val_loss val_mse_score val_ssim_score
0 0.2328193485736847 0.0038662555161863565 0.7671687006950378 0.22103093564510345 0.003719499334692955 0.7789989113807678
1 0.20708853006362915 0.0031149431597441435 0.7929149866104126 0.2051973044872284 0.003099660389125347 0.7947723865509033
2 0.19620850682258606 0.0027921695727854967 0.8037699460983276 0.1980295032262802 0.0029261845629662275 0.8020076751708984
3 0.18844717741012573 0.0025663559790700674 0.8115485310554504 0.18560408055782318 0.002610990544781089 0.8143963813781738
4 0.18292051553726196 0.002411323133856058 0.8170782327651978 0.23614244163036346 0.003267457243055105 0.7638126015663147
5 0.1784212291240692 0.002287481911480427 0.8215710520744324 0.1787821501493454 0.0024039235431700945 0.8212525844573975
6 0.1747361421585083 0.002191369654610753 0.8252854943275452 0.1771588921546936 0.0021980905439704657 0.8228381276130676
7 0.17171071469783783 0.0021140091121196747 0.8282937407493591 0.17194324731826782 0.0021380679681897163 0.8280766606330872
8 0.16906329989433289 0.0020505483262240887 0.8309251666069031 0.16960982978343964 0.002012107288464904 0.8304035067558289
9 0.16673195362091064 0.001995748607441783 0.8332494497299194 0.16755948960781097 0.0020408248528838158 0.8324443697929382
10 0.16477489471435547 0.0019493765430524945 0.835214376449585 0.16518716514110565 0.0021014176309108734 0.8347861170768738
11 0.16199703514575958 0.0018846143502742052 0.8380116820335388 0.1632167547941208 0.0018249594140797853 0.8367472887039185
12 0.15934276580810547 0.001824293634854257 0.8406525254249573 0.20235095918178558 0.0026716552674770355 0.7976946234703064
13 0.1571199744939804 0.0017772131832316518 0.842858076095581 0.1575411558151245 0.0017506248550489545 0.8424230217933655
14 0.15491607785224915 0.0017312939744442701 0.8450700044631958 0.15603236854076385 0.0017552669160068035 0.8439391851425171
15 0.15286678075790405 0.0016921316273510456 0.8471417427062988 0.1795453429222107 0.0021938986610621214 0.8204250931739807
16 0.15094900131225586 0.0016553755849599838 0.8490489721298218 0.2162763923406601 0.0030059965793043375 0.7837387323379517
17 0.14914555847644806 0.001623614109121263 0.850860595703125 0.25299614667892456 0.003852016991004348 0.7470683455467224
18 0.1475612372159958 0.0015957341529428959 0.852450966835022 0.15085138380527496 0.001650407793931663 0.8491544127464294
19 0.1461433321237564 0.0015700447838753462 0.8538565635681152 0.2220059633255005 0.003199767554178834 0.7779558300971985
20 0.14489200711250305 0.001548326457850635 0.8551177978515625 0.21117664873600006 0.0028332590591162443 0.7888331413269043
21 0.14372795820236206 0.001527874730527401 0.8562762141227722 0.1521480530500412 0.0016781052108854055 0.8478913307189941
22 0.14270241558551788 0.0015099578304216266 0.857295036315918 0.1458088457584381 0.001553608221001923 0.8541861176490784
23 0.14178653061389923 0.0014938084641471505 0.8582218289375305 0.14494863152503967 0.0015316305216401815 0.8550170660018921
24 0.14100688695907593 0.0014804438687860966 0.8589845895767212 0.14476236701011658 0.0015077624702826142 0.8552634716033936
25 0.14026716351509094 0.0014669010415673256 0.859744131565094 0.1516152322292328 0.001639250316657126 0.8483790755271912
26 0.13966640830039978 0.0014577567344531417 0.860302209854126 0.1503039300441742 0.0015706781996414065 0.8497125506401062
27 0.13904835283756256 0.0014461370883509517 0.8609458208084106 0.1512984186410904 0.0016061230562627316 0.848706841468811
28 0.13855008780956268 0.0014377172337844968 0.8614555597305298 0.14223311841487885 0.0014888783916831017 0.8577691316604614
29 0.13804441690444946 0.0014282260090112686 0.8619551658630371 0.1413213610649109 0.0014724601060152054 0.8587021231651306
30 0.13764739036560059 0.0014217637944966555 0.8623539209365845 0.1409395933151245 0.001456991070881486 0.8590438961982727
31 0.1372683346271515 0.0014148438349366188 0.8627392649650574 0.14356796443462372 0.0015076218405738473 0.8564208745956421
32 0.13691499829292297 0.0014089368050917983 0.8630985021591187 0.1413690745830536 0.00147573696449399 0.8586260080337524
33 0.13659395277500153 0.0014034733176231384 0.8634129166603088 0.14098389446735382 0.001451527001336217 0.8589954972267151
34 0.13632845878601074 0.001399177243001759 0.8636734485626221 0.13998889923095703 0.0014322707429528236 0.8599980473518372
35 0.1360592246055603 0.0013940498465672135 0.8639528751373291 0.14222028851509094 0.00146687519736588 0.8577863574028015
36 0.1358051300048828 0.0013906782260164618 0.8641698956489563 0.14117872714996338 0.0014709201641380787 0.858820915222168
37 0.13562481105327606 0.0013872492127120495 0.864372730255127 0.14180366694927216 0.0014899143716320395 0.8581873774528503
38 0.13542607426643372 0.001384055009111762 0.8645483255386353 0.14029090106487274 0.001439279643818736 0.859713077545166
39 0.13526155054569244 0.0013811144744977355 0.8647286295890808 0.14036069810390472 0.00143786973785609 0.8596574664115906
40 0.1350947469472885 0.0013782321475446224 0.8648937344551086 0.13923068344593048 0.0014342392096295953 0.8607524037361145
41 0.13495703041553497 0.0013759274734184146 0.865027904510498 0.13983863592147827 0.0014324788935482502 0.8601486682891846
42 0.1348482221364975 0.0013740434078499675 0.8651390075683594 0.13970057666301727 0.001429262338206172 0.8603076934814453
43 0.13471336662769318 0.0013719466514885426 0.8652641177177429 0.14005553722381592 0.001440779073163867 0.8599286675453186
44 0.13462018966674805 0.001370490761473775 0.8653665781021118 0.1416703164577484 0.0014575605746358633 0.8583505153656006
45 0.13454069197177887 0.0013685456942766905 0.865459680557251 0.13996145129203796 0.0014449188020080328 0.8600738048553467
46 0.1344577819108963 0.0013674001675099134 0.8655486702919006 0.13933390378952026 0.0014255481073632836 0.8606694340705872
47 0.13436749577522278 0.0013655723305419087 0.8656415343284607 0.14084990322589874 0.001449753763154149 0.8591527342796326
48 0.13429822027683258 0.0013646481093019247 0.8657031059265137 0.13907338678836823 0.0014238525182008743 0.8609154224395752
49 0.1342201977968216 0.0013632915215566754 0.8657829165458679 0.13956299424171448 0.0014302136842161417 0.8604370355606079
50 0.13417544960975647 0.001363006536848843 0.8658161163330078 0.13939230144023895 0.001430476550012827 0.860615074634552
51 0.13410833477973938 0.0013615894131362438 0.8658971190452576 0.13937368988990784 0.001428778748959303 0.8606076836585999
52 0.13407708704471588 0.00136086018756032 0.8659337759017944 0.13928550481796265 0.001425712020136416 0.8607324957847595
53 0.1340445727109909 0.001360636088065803 0.8659528493881226 0.14149270951747894 0.0014617983251810074 0.8585110306739807
54 0.13397449254989624 0.0013590760063380003 0.8660352826118469 0.13896064460277557 0.0014194692485034466 0.8610309958457947
55 0.13398972153663635 0.0013599328231066465 0.8660104274749756 0.13917653262615204 0.0014190997462719679 0.8607926368713379
