epoch loss mse ssim_score val_loss val_mse val_ssim_score
0 0.14953838288784027 0.0016530024586245418 0.8504612445831299 0.15524321794509888 0.0016180862439796329 0.8447843790054321
1 0.14913730323314667 0.0016446805093437433 0.8508706092834473 0.22278296947479248 0.0031172740273177624 0.7771718502044678
2 0.1481272131204605 0.0016273466171696782 0.8518744707107544 0.15289798378944397 0.0017600160790607333 0.8471092581748962
3 0.14717860519886017 0.0016095928149297833 0.852826714515686 0.1651705950498581 0.0018541142344474792 0.8348562121391296
4 0.14611873030662537 0.0015910891816020012 0.8538890480995178 0.16101081669330597 0.0019410100067034364 0.8389983773231506
5 0.1453322321176529 0.0015780740650370717 0.8546642065048218 0.1574327051639557 0.0018326443387195468 0.8425535559654236
6 0.15693163871765137 0.0018542413599789143 0.8430281281471252 0.19776515662670135 0.002548597287386656 0.8022360801696777
7 0.14516356587409973 0.0015765340067446232 0.8548349738121033 0.14822709560394287 0.001604026765562594 0.8517868518829346
8 0.14350107312202454 0.0015454848762601614 0.856482744216919 0.17342959344387054 0.0021492550149559975 0.8265555500984192
9 0.14269740879535675 0.0015332496259361506 0.8572919964790344 0.1733408272266388 0.0020291232503950596 0.8266462087631226
10 0.14219439029693604 0.0015217277687042952 0.8577748537063599 0.14761406183242798 0.0015733882319182158 0.8524062037467957
11 0.1401619166135788 0.0014841147931292653 0.8598460555076599 0.22877226769924164 0.003194323508068919 0.7711981534957886
12 0.13828051090240479 0.0014463954139500856 0.8617140650749207 0.17119100689888 0.002013186924159527 0.8287883400917053
13 0.136797234416008 0.0014192118542268872 0.8632169961929321 0.1858568638563156 0.002250378718599677 0.8141649961471558
14 0.13545118272304535 0.0013940921053290367 0.8645495176315308 0.15026135742664337 0.0016896341694518924 0.8497374057769775
15 0.13617022335529327 0.0014145375462248921 0.8638381361961365 0.15946181118488312 0.0018116412684321404 0.8405815958976746
16 0.13372203707695007 0.001360046910122037 0.8662594556808472 0.14344346523284912 0.0015077833086252213 0.8565216064453125
17 0.1323324739933014 0.001337134395726025 0.8676795363426208 0.13963015377521515 0.0014050323516130447 0.8603793978691101
